category,doc_class,filename,is_attack,sig_accept,sig_reason,hash_accept,hash_reason,dpm_accept,dpm_reason
attack_A1_replacement,certificate,certificate_003.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_catalog
attack_A1_replacement,certificate,certificate_004.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_catalog
attack_A1_replacement,certificate,certificate_005.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_catalog
attack_A1_replacement,certificate,certificate_006.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_catalog
attack_A1_replacement,invoice,invoice_001.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_meta
attack_A1_replacement,invoice,invoice_002.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_meta
attack_A1_replacement,invoice,invoice_003.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_meta
attack_A1_replacement,invoice,invoice_004.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_meta
attack_A1_replacement,invoice,invoice_005.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_meta
attack_A1_replacement,invoice,invoice_006.pdf,True,False,byte_range_shorter,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,admin_record,admin_record_001.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,admin_record,admin_record_002.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,admin_record,admin_record_003.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,admin_record,admin_record_004.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,admin_record,admin_record_005.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,admin_record,admin_record_006.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,certificate,certificate_001.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,certificate,certificate_002.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,certificate,certificate_003.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,certificate,certificate_004.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,certificate,certificate_005.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,certificate,certificate_006.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,invoice,invoice_001.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,invoice,invoice_002.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,invoice,invoice_003.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,invoice,invoice_004.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,invoice,invoice_005.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/a_metadata_info,invoice,invoice_006.pdf,True,True,sig_valid,False,hash_mismatch,False,r_meta
attack_A2_metadata/b_viewer_prefs,admin_record,admin_record_001.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,admin_record,admin_record_002.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,admin_record,admin_record_003.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,admin_record,admin_record_004.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,admin_record,admin_record_005.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,admin_record,admin_record_006.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,certificate,certificate_001.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,certificate,certificate_002.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,certificate,certificate_003.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,certificate,certificate_004.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,certificate,certificate_005.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,certificate,certificate_006.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,invoice,invoice_001.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,invoice,invoice_002.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,invoice,invoice_003.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,invoice,invoice_004.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,invoice,invoice_005.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/b_viewer_prefs,invoice,invoice_006.pdf,True,True,sig_valid,False,hash_mismatch,False,r_layer
attack_A2_metadata/c_annotation_overlay,admin_record,admin_record_001.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,admin_record,admin_record_002.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,admin_record,admin_record_003.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,admin_record,admin_record_004.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,admin_record,admin_record_005.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,admin_record,admin_record_006.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,certificate,certificate_001.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,certificate,certificate_002.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,certificate,certificate_003.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,certificate,certificate_004.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,certificate,certificate_005.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,certificate,certificate_006.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,invoice,invoice_001.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,invoice,invoice_002.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,invoice,invoice_003.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,invoice,invoice_004.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,invoice,invoice_005.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/c_annotation_overlay,invoice,invoice_006.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,admin_record,admin_record_001.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,admin_record,admin_record_002.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,admin_record,admin_record_003.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,admin_record,admin_record_004.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,admin_record,admin_record_005.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,admin_record,admin_record_006.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,certificate,certificate_001.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,certificate,certificate_002.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
attack_A2_metadata/d_ocg_toggle,certificate,certificate_003.pdf,True,False,signed_range_mutated,False,hash_mismatch,False,r_catalog
